commit	val_bpb	memory_gb	status	description	sample_text
-------	0.000000	0.0	crash	FAILED TO APPLY: Add 0.1 dropout to MLP and Attention blocks for regularization	
02e4c5d	1.137269	6.0	discard	Relax adaptive gradient clipping floor from 0.3 to 0.5 to allow larger gradient updates at end of training	The aim of this study was to evaluate the effect of a 1,2-dihydroxyvitamin D3 (D3D3) on the growth and growth of human breast cancer cells. The study was conducted to investigate the effect of 1,2-dihydroxyvitamin D3 on the growth and growth of breast cancer cells. The results showed that 1,2-dihydroxyvitamin D3D3 was significantly higher in breast cancer cells than in the control group.
46f5c68	1.130011	6.0	discard	Combine delayed LR warmdown (WARMDOWN_RATIO=0.25) with increased logit softcap (50) and disabled z-loss for sharper predictions and longer high-LR training	The aim of this study was to evaluate the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
a48c6cc	1.290826	6.0	discard	Add 10% linear LR warmup at start of training for more stable early optimization	The aim of this study was to investigate the effect of a new species on the basis of the effect of the species on the species of the species on the species of the species. The species of the species of the species of the species of the species of the species of the species of the species of the species of species. The species of species is the species of species, and species species are species of species species. The species species are species of species species, and species species species species, and
b0adde5	1.222807	6.0	discard	Change MLP activation from ReLU squared to GELU for smoother gradients and better optimization	The aim of this study was to investigate the effect of the 2) and 3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0594d37	1.196740	6.0	discard	Set final LR fraction to 0.01 to avoid LR dropping to exactly zero at end of training, maintaining small updates for final convergence	The aim of this study was to evaluate the effect of the 3D printing and the effect of the 3D printing on the growth of the 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D
af073d3	1.151381	6.0	discard	Increase embedding learning rate from 0.6 to 0.8 for faster convergence of token embeddings during the short 5-minute training window	The aim of this study was to evaluate the effect of the treatment of the treatment of chronic hepatitis C virus (HCV) and to evaluate the effect of the treatment on the outcome of hepatitis C virus (HCV) and hepatitis C virus (HCV) in patients with hepatitis C virus (HCV) and hepatitis C virus (HCV) hepatitis C virus (HCV) infection.The aim of this study was to evaluate the effect of a single dose of 100 mg/kg
6db3e37	1.114396	6.0	discard	Remove z-loss regularization and delay LR warmdown to last 25% of training for longer high-LR optimization with sharper predictions	The aim of this study was to evaluate the effect of a 3-year-old man with a 3-year-old man with a 3-year history of a 3-year-old man with a 3-year history of a 3-year-old man with a 3-year history of a 3-year history of a 3-year history of a 3-year history of a 3-year history of a 3-year history of a 3-year history of a 3-year history of a
456e863	1.147900	6.0	discard	Increase embedding weight decay from 0.001 to 0.003 for stronger regularization on token embeddings	The aim of this study was to evaluate the effect of a 2-year-old man with a 2-year-old man with a 2-year-old man with a 2-year-old man with a 2-year history of a 2-year-old man with a 2-year history of a 2-year-old man with a 2-year history of a 2-year-old man with a 2-year history of a 2-year-old man with a 2-year history of a 2
b906745	1.149619	6.0	discard	Reduce sliding window size from half to quarter sequence length (//4 instead of //2) for higher throughput in short-window layers, allowing more training steps within the 5-minute budget	The aim of this study was to evaluate the effect of a 3-year-old man with a 3-year-old man with a 3-year-old man with a history of a 3-year-old man with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a
49c2cdb	1.124618	6.0	discard	Delay LR warmdown to last 10% of training (WARMDOWN_RATIO=0.1) for extended high-LR optimization	The aim of this study was to evaluate the effect of a 2-minute period on the growth and growth of a 2-minute periodontal disease (FDD) in patients with a 2-minute periodontal disease (FDD) and to compare the effects of a 2-minute periodontal disease (FDD) on the growth and growth and growth of FDD. FDD was a 2-minute period of
532e87d	1.109444	6.0	discard	Increase matrix learning rate from 0.04 to 0.06 for faster convergence of transformer parameters within the 5-minute budget	The aim of this study was to investigate the effect of the 2D printing on the growth of the human breast cancer cell line (HCC) cell line. The cell line was used to study the effect of the 2D printing on the growth of HCC cells. The cell line was used to study the growth of HCC cells. The cell line was used to study the growth and growth of HCC cells. The cell line was used to study the growth and
5a51e32	0.000000	0.0	crash	Tie value embeddings to input token embeddings (wte) instead of separate parameters for better gradient flow and parameter efficiency [Traceback (most recent call last):
4a36652	1.095307	6.0	discard	Add gradient centralization to AdamW parameters (subtract mean gradient across feature dims)	The aim of this study was to determine the effect of the 2- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and
76ac180	1.095424	6.0	discard	Initialize value embedding gates to negative values (-3.0) so they start nearly closed (gate≈0.1), allowing the model to gradually learn to use value embeddings rather than starting with full contribution	The aim of this study was to investigate the effect of the 2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4
7631496	1.095995	6.0	discard	Lower adaptive gradient clipping floor from 0.3 to 0.2 to allow slightly larger gradient updates at end of training	The aim of this study was to determine the effect of the 2,3-dimethylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthi
07efd9b	0.000000	0.0	crash	Implement curriculum learning by progressively increasing sequence length from 512 to MAX_SEQ_LEN over training to stabilize early optimization [^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
e4463e5	1.095870	6.0	discard	Delay adaptive gradient clipping decay to second half of training (maintain max clipping for first 50% of training, then cosine decay to 0.3)	The aim of this study was to determine the effect of the 2,3-dimethylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthi
22d2d7f	1.097398	6.0	discard	Initialize value embeddings to zeros instead of uniform, allowing the model to gradually learn value residual contributions from scratch rather than starting with random projections	The aim of this study was to determine the effect of the presence of a 2,3-dimethylammonium chloride (DC) on the expression of the human epidermal growth factor receptor (EGFR) and the expression of EGFR in human breast cancer cells. The EGFR was detected in 100% of the cells, and the expression of EGFR was detected in 100% of cells. EGFR was detected in 100% of cells, and EGFR
9652b76	1.091390	7.5	discard	Add Gaussian noise (std=0.1) to logits during training for regularization	The aim of this study was to determine the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
931149e	1.047155	5.5	keep	Reduce MLP expansion ratio from 4x to 3x to decrease FLOPs and allow more training steps within the 5-minute budget	The aim of this study was to investigate the effects of the use of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
6606600	1.002179	4.2	keep	Reduce ASPECT_RATIO from 64 to 48 to decrease model width from 768 to 640 dims, reducing FLOPs per step by ~30% to allow significantly more training steps within the 5-minute budget	The effect of the 5-HT1A receptor antagonist, 5-HT1A, on the release of the 5-HT1A receptor in the rat was studied. The effect of 5-HT1A on the release of the 5-HT1A receptor was studied. The effect of 5-HT1A on the release of the 5-HT1A receptor was studied. The effect of 5-HT1A on the release of the 5-HT1A receptor was studied
b1e4c7b	0.967300	2.9	keep	Further reduce ASPECT_RATIO from 48 to 32 to decrease model width from 640 to 384 dims, reducing FLOPs per step by ~42% to allow significantly more training steps within the 5-minute budget	The aim of this study was to evaluate the effect of the presence of a single dose of 1.5 mg/kg of body weight on the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of
a2dec57	1.006807	1.7	discard	Reduce ASPECT_RATIO from 32 to 16 to further decrease model width from 384 to 256 dims, allowing significantly more training steps within the 5-minute budget	The aim of this study was to investigate the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
d6db17e	1.189740	6.7	discard	Reduce HEAD_DIM from 128 to 96 to increase attention heads from 3 to 4 for better representational capacity without changing model dimension or FLOPs	The aim of this study was to determine the effect of the presence of a single dose of 0.5 mg/kg body weight (BW) on the basis of the results of the study. The study was conducted in 20 patients with chronic obstructive pulmonary disease (COPD) and 10 healthy controls. The study was conducted in 20 patients with COPD and 10 healthy controls. The mean age of the patients was 0.5 years. The mean age of the patients
-------	0.000000	0.0	crash	FAILED TO APPLY: Use grouped-query attention (GQA) by halving n_kv_head to reduce KV cache computation and memory, allowing more training steps within the time budget while maintaining model expressiveness through multi-query attention (MQA) when heads=3 becomes 1	
d8e94ba	1.082508	6.0	discard	Set logit softcap to 30 for moderate regularization between baseline (12) and previously tried loose values (50/10000)	The aim of this study was to evaluate the effect of the use of a combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of combination of the combination of combination of the combination of combination
610b383	1.102107	5.8	discard	Remove Value Embeddings (VE) entirely by disabling them in all layers to reduce parameter count (~75M params) and computation, allowing significantly more training steps within the 5-minute budget while maintaining the optimal model width of 384 dims (ASPECT_RATIO=32)	The aim of this study was to determine the effect of the 2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
e8d5220	1.154321	6.0	discard	Reduce HEAD_DIM from 128 to 64 to increase attention heads from 3 to 6 with ASPECT_RATIO=32 (384 dims), using narrower heads for potentially better representation and memory efficiency	The purpose of this study was to determine the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
3ab811c	1.086142	6.0	discard	Add Gaussian noise (std=0.02) to input embeddings during training as data augmentation	The aim of this study was to determine the effect of the administration of the 1,2-dihydroxy-2,3-dihydroxy-4,5-dihydroxy-2,3-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-
c242855	0.965294	2.9	keep	Combine optimal ASPECT_RATIO=32 (384 dims) with 3x MLP expansion to maximize training steps while maintaining sufficient model capacity	The aim of this study was to investigate the effect of the presence of a single nucleotide polymorphism (SNP) in the 5'UTR of the 5'UTR of the 5'UTR of the 5'UTR of the 5'UTR of the 5'UTR of the 5'UTR of the 5'UTR of the 5'UTR of the 5'UTR of the 5'UTR of
bf8eda2	0.965193	2.9	keep	Change window pattern to SS to reduce long attention layers from 3 to 1, allowing ~15% more training steps within the 5-minute budget while maintaining minimal global context via the final forced long layer	The aim of this study was to investigate the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
9c6b3d8	0.970039	2.7	discard	Reduce MLP expansion ratio from 3x to 2x to decrease FLOPs per step by ~33%, allowing significantly more training steps within the 5-minute budget while maintaining the optimal model width of 384 dims (ASPECT_RATIO=32)	The aim of this study was to evaluate the effect of the use of a 2-minute dose of 2-minute dose of 2-minute dose of 2-minute dose of 2-minute dose of 2-minute dose of 2-minute dose of 2-minute dose of 2-minute dose of 2-minute dose of 2-minute dose of 2-minute dose of
a76378b	1.083771	6.0	discard	Increase sliding window size for 'S' layers from half to three-quarters of sequence length (1536 instead of 1024) to capture longer-range dependencies in local attention layers while maintaining throughput advantage over full attention	The aim of this study was to determine the effect of the 2,3-dihydroxy-3,4-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5
8e128ac	0.967283	2.9	discard	Optimal narrow configuration: ASPECT_RATIO=32 (384 dims, 12 heads) with 3x MLP expansion for 42% FLOPs reduction, combined with full-dimension value embedding gates (use all input channels instead of 32) for better residual routing	The aim of this study was to investigate the effect of the 3rd-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d-3d
5c38969	1.065916	6.0	discard	Remove internal residual connection in MLP to fix double residual and achieve standard Pre-LN architecture	The aim of this study was to determine the effect of the 2,3-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5
9597a98	1.082781	6.0	discard	Use full input dimension for value embedding gates instead of fixed 32 channels to improve residual routing capacity	The aim of this study was to determine the effect of the antihypertensive agent of the antihypertensive agent of the antihypertensive agent of the antihypertensive agent of antihypertensive drugs. The antihypertensive agent of antihypertensive drugs was administered to 1.5 mg/kg of antihypertensive drugs. The antihypertensive agent was administered to 1.5 mg/kg of antihypertensive drugs. The antihypertensive agent was administered to 1.5 mg/kg of
347139f	0.966846	2.9	discard	Switch to optimal narrow configuration: ASPECT_RATIO=32, 3x MLP expansion, and SS window pattern for maximum training throughput	The aim of this study was to investigate the effect of the use of a new, a new, and a new, a new, and a new new, a new, a new, new, a new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new, new
2912dc4	1.089234	6.0	discard	Add 10% dropout to input token embeddings for regularization	The aim of this study was to determine the effect of a new method of measuring the effect of a new method on the effect of a new method of choice on the effect of a new method of choice on the effect of a new method of choice on the effect of a new method of choice on the effect of a new method of choice on the effect of a new method of choice on the effect of a new method of choice on the effect of a new method of choice on the effect of a new
ddc0d21	2.100530	3.0	discard	Adopt optimal narrow configuration (ASPECT_RATIO=32, 3x MLP expansion, SS window pattern) with exponential moving average (EMA) of parameters for improved generalization	The aim of this study was to investigate the effect of the combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
fd9e1c3	0.976928	2.9	discard	Switch to narrow configuration with ASPECT_RATIO=32, HEAD_DIM=64 (6 heads), 3x MLP expansion, and SS window pattern for improved throughput and representational capacity	The aim of this study was to investigate the effect of the use of a 1% sucrose solution on the growth of the growth of the human breast cancer cell line. The growth of the breast cancer cell line was evaluated by the growth of the breast cancer cell line, the growth of the breast cancer cell line, and the growth of the breast cancer cell line. The growth of the breast cancer cell line was evaluated by the growth of the breast cancer cell line, the growth of the breast cancer cell
b5c9fc2	0.968728	2.9	discard	Implement optimal narrow configuration (ASPECT_RATIO=32, 3x MLP, SS window) with increased logit softcap of 20 for sharper predictions	The aim of this study was to evaluate the effect of the use of a new antifungal agent, 2-(2,4-diphenyl-1,2,4-triazin-2-yl)phenyl-1,2,4-triazin-2-ylphenyl-1,2,4-triazin-2-ylphenyl-1,2,4-triazin-2-ylphenyl-1,2,4-triaz
de5e4f8	0.000000	0.0	crash	Combine optimal narrow configuration (ASPECT_RATIO=32, 3x MLP expansion, SS window pattern) with full-dimension value embedding gates to maximize training throughput and residual routing capacity [File "/home/pat/autoresearch/.venv/lib/python3.12/site-packages/torch/_prims_common/wrappers.py", li]	
74bd6e1	1.187187	6.7	discard	Reduce HEAD_DIM from 128 to 96 to increase attention heads from 3 to 4 with ASPECT_RATIO=32 (384 dims), improving representational capacity without changing FLOPs or memory	The aim of this study was to determine the effect of the treatment of the disease on the survival of patients with chronic lymphocytic leukemia (LCL) and to determine the effect of treatment on the survival of patients with lymphocytic leukemia (LCL) and to determine the effect of treatment on survival of patients with LCL.The aim of this study was to determine the effect of the treatment of chronic lymphocytic leukemia (CLL) on the survival of patients with lymphocytic leukemia (CLL
3e381d0	0.965003	2.9	keep	Apply optimal narrow configuration (ASPECT_RATIO=32, 3x MLP expansion, SS window) with reduced embedding weight decay of 0.0005 for less aggressive regularization on the narrower model's embeddings	The aim of this study was to evaluate the effect of the use of a new, non-ionic surfactant, surfactant, on the development of the in vitro and in vivo bioavailability of the surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant, surfactant
c1040be	0.963350	2.9	keep	Remove z-loss regularization to simplify the loss function and potentially allow slightly sharper predictions with the current softcap of 12	The aim of this study was to evaluate the effect of the use of a new anti-oxidant, anti-oxidant, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory, anti-inflammatory
ed8f7b1	0.993433	4.2	discard	Increase HEAD_DIM from 128 to 192 (reducing heads from 3 to 2) for wider attention heads with the narrow 384-dim configuration	The aim of this study was to determine the effect of the 5-HT2 receptor antagonist, 5-HT2A receptor antagonist, on the expression of the 5-HT2 receptor antagonist, 5-HT2A receptor antagonist, and 5-HT2A receptor antagonist, in the rat brain. The 5-HT2A receptor antagonist, 5-HT2A receptor antagonist, was administered to 5-HT2A receptor antagonist, 5-HT2A receptor antagonist, and 5
1226044	0.000000	0.0	crash	Apply optimal narrow configuration (ASPECT_RATIO=32, 3x MLP expansion, SS window pattern) and remove forced full-attention in final layer to increase training steps [File "/home/pat/autoresearch/.venv/lib/python3.12/site-packages/torch/_prims_common/wrappers.py", li]	
ba323b7	1.081982	6.0	discard	Initialize value embedding gates to -0.5 for starting gate values of ~0.76 (instead of 1.0), allowing the model to gradually open value residual connections rather than starting fully open	The aim of this study was to determine the effect of the 2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3-dihydro-2,3
4de915e	0.962258	2.9	keep	Combine optimal narrow configuration (ASPECT_RATIO=32, 3x MLP expansion, SS window) with z-loss removal for maximum training throughput and sharper predictions	The aim of this study was to investigate the effect of the presence of a single dose of 0.1 mg/kg of 0.1 mg/kg of 0.1 mg/kg of 0.1 mg/kg of 0.1 mg/kg of 0.1 mg/kg of 0.1 mg/kg of 0.1 mg/kg of 0.1 mg/kg of 0.1 mg/kg of 0.1 mg/kg of 0.1 mg
cfd079b	0.000000	0.0	crash	Change linear LR warmdown to cosine annealing schedule for smoother learning rate decay at the end of training [step 00222 (50.0%) | loss: 3.242270 | lrm: 1.00 | dt: 679ms | tok/sec: 772,579 | mfu: 5.6% | epoch: ]	
7c79773	0.959492	2.9	keep	Optimal narrow configuration (ASPECT_RATIO=32, 3x MLP expansion, SS window pattern) without z-loss and using 10% final LR fraction to maintain small updates at convergence	The aim of this study was to evaluate the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
e29c321	0.958955	2.9	keep	Align value embeddings AdamW betas with input embeddings using (0.8, 0.95) for faster adaptation of residual connections	The aim of this study was to investigate the effect of the use of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new type of a new
06e9c3a	0.957069	2.9	keep	Remove deep residual connection by initializing x0_lambdas to 0.0 instead of 0.1, simplifying to standard Pre-LN residual path	The aim of this study was to evaluate the effect of the use of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single
5fde318	0.961970	2.9	discard	Initialize resid_lambdas to 0.9 instead of 1.0 to reduce initial residual connection strength for potentially better gradient flow in the narrow configuration	The aim of this study was to investigate the effects of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
3a89981	1.089091	6.0	discard	Change linear LR warmdown to cosine annealing schedule for smoother learning rate decay at the end of training	The aim of this study was to determine the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
5e8143f	1.083520	6.0	discard	Increase value embedding gate channels from 32 to 64 for improved residual routing information flow without the overhead of full-dimension gating	The aim of this study was to determine the effect of the 2,3-dihydroxy-3,4-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-3,4-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5
