commit	val_bpb	memory_gb	status	description	sample_text
4240117	1.093893	6.0	discard	Set WARMDOWN_RATIO=0.65 (between the tried 0.5 and 0.75 values) and increase MATRIX_LR from 0.04 to 0.042 for slightly faster matrix learning, combining the near-miss warmdown insight with a modest LR boost	The aim of this study was to determine the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
41253ac	0.000000	0.0	crash	Replace adaptive cosine gradient clipping (1.0 to 0.3) with fixed clip norm of 1.0 throughout training, preventing over-aggressive clipping during warmdown phase that may limit useful gradient updates [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
ace097a	0.000000	0.0	crash	Add a small LR warmup (WARMUP_RATIO=0.05) to stabilize early training, combined with keeping WARMDOWN_RATIO=0.5. The current zero warmup means training starts at full LR which can cause instability in early steps. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
-------	0.000000	0.0	crash	FAILED TO APPLY: Increase Muon ns_steps from 5 to 6 for better orthogonalization quality, which should improve the gradient update quality per step at modest compute cost	
574f7a6	0.000000	0.0	crash	Try WARMDOWN_RATIO=0.60 with slightly increased MATRIX_LR=0.043 to get better convergence - a moderate warmdown that hasn't been tried with the current halved batch size setup [step 00152 (87.6%) | loss: 3.356790 | lrm: 0.21 | dt: 1772ms | tok/sec: 295,855 | mfu: 7.1% | epoch:]	
173a657	0.000000	0.0	crash	Set WARMDOWN_RATIO=0.55 - a small increase from the baseline 0.5 toward the near-miss 0.75, giving slightly more time for LR cooldown without the instability seen at higher values [step 00151 (87.9%) | loss: 3.377298 | lrm: 0.22 | dt: 1766ms | tok/sec: 296,938 | mfu: 7.2% | epoch:]	
200df1d	0.000000	0.0	crash	Set Muon WEIGHT_DECAY to 0.0 - the cautious weight decay in Muon may be hurting convergence since the orthogonalization already provides implicit regularization [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
4794421	0.000000	0.0	crash	Increase logit softcap from 12 to 30 to allow larger logit magnitudes, reducing the constraint on output distribution sharpness which may improve convergence [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
6e9b7ca	1.203233	6.0	discard	Increase x0_lambdas learning rate multiplier from 3.0 to 6.0 and resid_lambdas from 0.05 to 0.1, allowing faster adaptation of the per-layer input mixing coefficients which control how much the original embedding x0 contributes at each layer	The aim of this study was to determine the effect of the administration of a 1-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-3-
301e2b4	1.118427	6.0	discard	Replace squared ReLU activation with SiLU (Swish) in MLP - SiLU is smoother and often converges better than squared ReLU for language models	The aim of this study was to determine the effect of the 2nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd 3nd
cbcc783	0.000000	0.0	crash	Reduce z-loss coefficient from 1e-4 to 1e-5 to reduce the regularization penalty on logits, allowing the model to be more confident and potentially improve val_bpb [step 00146 (86.1%) | loss: 3.443674 | lrm: 0.28 | dt: 1970ms | tok/sec: 266,095 | mfu: 6.4% | epoch:]	
3890aff	0.970443	6.0	discard	Halve TOTAL_BATCH_SIZE again to 2**18 for 4x more optimizer steps vs original baseline, giving more gradient updates within the 5-minute budget	The aim of this study was to investigate the effects of the 2,4,5-triazine (2,4,5-triazine) on the proliferation and apoptosis of human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human human
1f286d6	0.969349	6.0	discard	Reduce TOTAL_BATCH_SIZE to 2**18 for 4x more optimizer steps, combined with slightly higher MATRIX_LR=0.045 to compensate for smaller effective batch size	The aim of this study was to investigate the effects of the 2,4-dichlorophenoxyacetic acid (DCA) on the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the
f4c3bce	0.969263	6.0	discard	Combine TOTAL_BATCH_SIZE=2**18 with MATRIX_LR=0.045 (near-miss combo at +0.0002) plus slightly increase WARMDOWN_RATIO to 0.52 to give marginally more cooldown time	The aim of this study was to investigate the effects of the 2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris
e2a815f	0.973140	6.0	discard	Increase x0_lambdas LR multiplier from 3.0 to 4.0 and resid_lambdas from 0.05 to 0.08, with TOTAL_BATCH_SIZE=2**18 and MATRIX_LR=0.045 from near-miss	The aim of this study was to investigate the effects of the 2,4-dichlorophenoxyacetic acid (DCPA) on the growth of the human breast cancer cell line MCF-7 and to determine the effect of DCPA on the growth of MCF-7 cells. The growth of MCF-7 cells was studied by the 2,4-dichlorophenoxyacetic acid (DCPA) assay. The growth of MCF-7
e219975	0.970988	6.0	discard	Start Muon momentum warmup from 0.90 instead of 0.88, combined with proven TOTAL_BATCH_SIZE=2**18 and MATRIX_LR=0.045 settings, to get better gradient updates from the start	The aim of this study was to investigate the effect of a novel 2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tris(2,4,5-tr
e36e72f	0.981113	6.0	discard	Increase SCALAR_LR from 0.5 to 1.0 to allow faster adaptation of per-layer resid_lambdas and x0_lambdas, combined with proven TOTAL_BATCH_SIZE=2**18 and MATRIX_LR=0.045 settings	The aim of this study was to investigate the effects of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
961bbab	0.968803	6.0	keep	Use TOTAL_BATCH_SIZE=2**18 and MATRIX_LR=0.045 (proven near-miss combo) with slightly increased EMBEDDING_LR=0.65 to allow faster embedding adaptation with the smaller batch size	The aim of this study was to investigate the effects of the presence of a single dose of 0.5 mg/kg of 0.5 mg/kg of 0.5 mg/kg of 0.5 mg/kg of 0.5 mg/kg of 0.5 mg/kg of 0.5 mg/kg of 0.5 mg/kg of 0.5 mg/kg of 0.5 mg/kg of 0.5 mg/kg of 0.5 mg
804edb1	0.969598	6.0	discard	Set FINAL_LR_FRAC=0.02 so LR doesn't decay to zero during warmdown, keeping small useful updates at the end of training, combined with proven TOTAL_BATCH_SIZE=2**18 and MATRIX_LR=0.045	The aim of this study was to investigate the effect of the presence of a single dose of 0.5 mg/kg of 2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,
-------	0.000000	0.0	crash	FAILED TO APPLY: Increase Muon beta2 from 0.95 to 0.98 for more stable second moment estimates with the small batch size, combined with proven TOTAL_BATCH_SIZE=2**18 and MATRIX_LR=0.045	
6e5411e	0.981896	6.0	discard	Use TOTAL_BATCH_SIZE=2**18, MATRIX_LR=0.045, EMBEDDING_LR=0.65 (current best) but add a small LR warmup of 2% to stabilize early training steps with the small batch size	The aim of this study was to investigate the effect of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
9a34a84	0.973328	6.0	discard	Increase Adam beta1 from 0.8 to 0.85 for slightly more momentum in embedding/scalar updates, combined with proven TOTAL_BATCH_SIZE=2**18 and MATRIX_LR=0.045 and EMBEDDING_LR=0.65 settings	The aim of this study was to determine the effect of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
3356429	0.000000	0.0	crash	Use proven TOTAL_BATCH_SIZE=2**18 and MATRIX_LR=0.045 with WARMDOWN_RATIO=0.53 and slightly higher WEIGHT_DECAY=0.25 to provide slightly more regularization with the smaller batch size [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
fe95286	0.968940	6.0	discard	Use cosine shape for LR warmdown instead of linear decay - smoother convergence during cooldown phase, combined with proven TOTAL_BATCH_SIZE=2**18 and MATRIX_LR=0.045 and EMBEDDING_LR=0.65 settings	The aim of this study was to investigate the effect of the presence of a single dose of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 10
-------	0.000000	0.0	crash	FAILED TO APPLY: Give all transformer layers value embeddings instead of alternating layers - increases model capacity for value residual mixing at modest memory cost	
582e4f0	0.000000	0.0	crash	Try EMBEDDING_LR=0.70 with proven TOTAL_BATCH_SIZE=2**18 and MATRIX_LR=0.045 settings - slightly higher than the near-miss 0.65 to allow faster embedding adaptation [step 00307 (93.5%) | loss: 2.917424 | lrm: 0.13 | dt: 903ms | tok/sec: 290,329 | mfu: 7.0% | epoch: ]	
f99f0b7	0.948051	6.0	keep	Try TOTAL_BATCH_SIZE=2**17 (8x more optimizer steps than baseline, 2x more than current best) with MATRIX_LR=0.035 to compensate for even smaller batch size - more gradient updates in 5 minutes should improve convergence	
27b1e01	0.000000	0.0	crash	Increase WARMDOWN_RATIO to 0.55 with current best TOTAL_BATCH_SIZE=2**17 and MATRIX_LR=0.035 - more LR cooldown time should help final convergence with the higher step count [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
0dd53f5	0.948141	6.0	discard	Use TOTAL_BATCH_SIZE=2**17 (current best) with EMBEDDING_LR=0.55 - smaller batch size may need lower embedding LR to avoid overshooting, and this combination hasn't been tried	
cab7895	0.000000	0.0	crash	Try MATRIX_LR=0.030 with TOTAL_BATCH_SIZE=2**17 - slightly lower than current best 0.035 to avoid overshooting with the high step count from small batch size [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
64d08d0	0.000000	0.0	crash	Try MATRIX_LR=0.040 with current best TOTAL_BATCH_SIZE=2**17 - slightly higher than the 0.035 used in current best, since 2**18 experiments showed 0.045 was good and scaling up from 2**18 to 2**17 (half batch) might benefit from slightly higher LR [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
8fc1030	1.077835	6.0	discard	Initialize x0_lambdas to 0.2 instead of 0.1 - stronger initial skip connection from embedding to each layer may improve gradient flow and convergence with the current best TOTAL_BATCH_SIZE=2**17 setup	The aim of this study was to determine the effect of the administration of a 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week, 3-week,
738b66a	0.000000	0.0	crash	Use TOTAL_BATCH_SIZE=2**17 with WARMDOWN_RATIO=0.52 - slightly more LR cooldown time than the current best 0.5, combined with proven MATRIX_LR=0.035 setting for 2**17 [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
7ecf3fa	0.955567	6.0	discard	Try TOTAL_BATCH_SIZE=2**16 (16x more optimizer steps than baseline, 2x more than current best 2**17) with MATRIX_LR=0.025 scaled proportionally - more gradient updates in 5 minutes should improve convergence further	The aim of this study was to investigate the effects of the use of a combination of the use of a combination of the use of a combination of the use of a combination of the use of a combination of the use of a combination of the use of a combination of the use of a combination of the use of a combination of the use of a combination of the use of a combination of the use of a combination of a combination of the use of a combination of a combination of a combination of a combination
9c5ffba	0.948563	6.0	discard	Increase UNEMBEDDING_LR from 0.004 to 0.008 with current best TOTAL_BATCH_SIZE=2**17 and MATRIX_LR=0.035 - the lm_head learning rate has never been tuned and may be too conservative for the smaller batch size setup	The aim of this study was to investigate the effects of the 2- and 3-min intervals on the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the
4a11976	0.949265	6.0	discard	Combine the two near-miss improvements: EMBEDDING_LR=0.55 and UNEMBEDDING_LR=0.008 with current best TOTAL_BATCH_SIZE=2**17 and MATRIX_LR=0.035 - both individually nearly matched baseline and combining them may push below it	The aim of this study was to investigate the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
b1043fc	0.948254	6.0	discard	Use TOTAL_BATCH_SIZE=2**17 with MATRIX_LR=0.035 (current best) and UNEMBEDDING_LR=0.010 - slightly higher than the near-miss 0.008 which gave +0.0005, pushing further in the direction that showed improvement	The aim of this study was to investigate the effect of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
1f1aac1	0.947785	6.0	keep	Combine EMBEDDING_LR=0.55 and UNEMBEDDING_LR=0.010 with current best TOTAL_BATCH_SIZE=2**17 and MATRIX_LR=0.035 - both individually nearly matched baseline and the unembedding LR of 0.010 showed +0.0002 improvement, combining all three near-miss improvements simultaneously	The aim of this study was to investigate the effects of a single dose of 5 mg/kg of 5-fluorouracil (5-FU) on the expression of the genes involved in the development of the rat brain. The results showed that 5-FU treatment significantly reduced the expression of the genes involved in the development of the rat brain. The expression of the genes involved in the development of the rat brain was significantly reduced in the 5-FU-treated rats compared with the control
dd91f38	0.950090	6.0	discard	Set Adam beta2=0.999 for embedding and lm_head parameter groups (currently using 0.95) for more stable second moment estimates with these high-LR parameters, while keeping value_embeds and matrix params unchanged	The aim of this study was to investigate the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
c989c37	0.950393	6.0	discard	Set FINAL_LR_FRAC=0.05 with current best TOTAL_BATCH_SIZE=2**17 and MATRIX_LR=0.035 - a non-zero final LR prevents the model from stalling at the end of warmdown, and this hasn't been tried with the 2**17 batch size that gives the current best result	The aim of this study was to determine the effect of the presence of a single dose of 1.5 mg of 1.5 mg of 1.5 mg of 1.5 mg of 1.5 mg of 1.5 mg of 1.5 mg of 1.5 mg of 1.5 mg of 1.5 mg of 1.5 mg of 1.5 mg of 1.5 mg of 1.5
-------	0.000000	0.0	crash	FAILED TO APPLY: Reduce Muon ns_steps from 5 to 4 to speed up each optimizer step, allowing more gradient updates within the 5-minute budget with current best TOTAL_BATCH_SIZE=2**17 and MATRIX_LR=0.035 settings	
4392e11	0.947098	6.0	keep	Speed up Muon momentum warmup from 500 to 300 steps so full momentum is reached earlier, giving more training steps at optimal momentum with the small batch size TOTAL_BATCH_SIZE=2**17	The aim of this study was to investigate the effects of the combination of the two drugs on the expression of the genes involved in the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of the development of
9a412c2	0.949990	6.0	discard	Reduce WARMDOWN_RATIO to 0.45 to spend more training time at peak LR, giving the model more steps at full learning rate before cooling down	The aim of this study was to investigate the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
622a81a	1.121438	6.0	discard	Use separate lower LR for value embeddings (0.3x embedding LR) since they receive different gradient signals than token embeddings and may benefit from more conservative updates	The aim of this study was to evaluate the effect of the 2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-oxo-2-
61df0e0	0.954406	6.0	discard	Change x0_lambdas Adam beta1 from 0.8 to 0.9 for smoother skip connection parameter updates, and increase x0_lambdas LR multiplier from 3.0 to 4.0 for faster adaptation of the embedding skip connections with TOTAL_BATCH_SIZE=2**17	The aim of this study was to investigate the effect of the presence of a single dose of 1.5 mg/kg of the drug on the growth of the human prostate cancer cell line MCF-7. The effect of the drug on the growth of the prostate cancer cell line MCF-7 was investigated. The results showed that the drug was able to inhibit the growth of the prostate cancer cell line MCF-7. The effect of the drug on the growth of the prostate cancer cell line
351008e	0.945450	6.0	keep	Use fixed gradient clip norm of 0.5 instead of adaptive cosine schedule from 1.0 to 0.3 - with TOTAL_BATCH_SIZE=2**17 and many more steps, the adaptive clip may be suboptimal and a moderate fixed value could work better	The aim of this study was to investigate the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
4311311	0.947663	6.0	discard	Speed up Muon momentum warmup from 300 to 200 steps so full momentum is reached even earlier, giving more training steps at optimal 0.95 momentum with the small batch size TOTAL_BATCH_SIZE=2**17	The aim of this study was to investigate the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
e3594fa	0.950069	6.0	discard	Speed up Muon momentum warmup from 500 to 100 steps - reach full 0.95 momentum very quickly, maximizing the number of steps at optimal momentum with TOTAL_BATCH_SIZE=2**17	The aim of this study was to investigate the effect of the presence of a high-fat diet on the expression of the genes involved in the development of the liver and the liver. The expression of the genes involved in the liver development was examined in the liver of rats fed a high-fat diet. The expression of the genes involved in the liver development was examined in the liver of rats fed a high-fat diet. The expression of the genes involved in the liver development was examined in the liver of
1db1c2b	0.946355	6.0	discard	Combine fixed gradient clip norm of 0.5, TOTAL_BATCH_SIZE=2**17, MATRIX_LR=0.035, and Muon momentum warmup at 300 steps - the current train.py still has adaptive clipping and 2**19 batch size, combining all proven improvements	The aim of this study was to evaluate the effect of a new type of cement on the bone mineral density (BMD) of the hip and knee. The study was performed in 10 patients with hip and knee osteoarthritis (OA) and 10 healthy controls. The patients were divided into 3 groups: 1) the control group (n = 10) and 2) the cement group (n = 10) and the cement group (n
1db1c2b	0.947393	6.0	discard	Set TOTAL_BATCH_SIZE=2**17, MATRIX_LR=0.035, fixed gradient clip norm of 0.5, and Muon momentum warmup over 300 steps - combining all proven improvements that gave the current best 0.9455	The aim of this study was to investigate the effects of the presence of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single dose of a single
c769a21	0.946151	6.0	discard	Set TOTAL_BATCH_SIZE=2**17 with MATRIX_LR=0.035, fixed gradient clip norm of 0.5, and Muon momentum warmup at 300 steps - implementing the best near-miss combination (+0.0009) which hasn't been cleanly applied to the current baseline	The aim of this study was to evaluate the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
ac57a06	0.947594	6.0	discard	Apply best known settings (TOTAL_BATCH_SIZE=2**17, MATRIX_LR=0.035, fixed clip norm 0.5, Muon momentum warmup 300 steps) plus increase value_embeds weight_decay from 0.001 to 0.005 for stronger regularization on value embeddings	The aim of this study was to evaluate the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
10ed7a0	0.946389	6.0	discard	Apply proven best settings: TOTAL_BATCH_SIZE=2**17, MATRIX_LR=0.035, fixed gradient clip norm 0.5, Muon momentum warmup over 300 steps, plus try WARMDOWN_RATIO=0.53 for slightly more cooldown	The aim of this study was to evaluate the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
766e023	0.000000	0.0	crash	Apply proven best settings: TOTAL_BATCH_SIZE=2**17, MATRIX_LR=0.035, fixed gradient clip norm 0.5, Muon momentum warmup over 300 steps, and WARMDOWN_RATIO=0.55 for slightly more cooldown time [^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
File "/home/pat/.local/share/uv/python/cpython-3.12.13-li]	
cc081b8	0.950362	6.0	discard	Apply proven best settings (TOTAL_BATCH_SIZE=2**17, MATRIX_LR=0.035, fixed clip norm 0.5, Muon momentum warmup 300 steps) plus cosine-shaped LR warmdown instead of linear for smoother convergence	
204544a	0.946455	6.0	discard	Apply proven best settings (TOTAL_BATCH_SIZE=2**17, MATRIX_LR=0.035, fixed clip norm 0.5, Muon momentum warmup 300 steps) plus FINAL_LR_FRAC=0.01 for a tiny non-zero final LR to prevent complete stalling at end of warmdown	
6b82b6f	0.946566	6.0	discard	Apply all proven best settings cleanly: TOTAL_BATCH_SIZE=2**17, MATRIX_LR=0.035, fixed gradient clip norm 0.5, Muon momentum warmup over 300 steps (not 500), and EMBEDDING_LR=0.55 which showed improvement	The aim of this study was to determine the effect of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of combination of a combination of combination of a combination of combination of combination of combination of combination of combination of combination of combination of combination of combination of combination of combination of combination of combination of combination of combination of combination of combination of combination of combination
0e683f6	0.000000	0.0	crash	Apply best known settings (TOTAL_BATCH_SIZE=2**17, MATRIX_LR=0.035, fixed clip norm 0.5, Muon momentum warmup 300 steps) plus reduce z-loss from 1e-4 to 5e-5 to reduce logit regularization overhead [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
